弹幕,时间
我竟然在B站看线代,2016-10-18 23:11:25
居然有15个大兄弟一起和我学数学,2016-10-18 23:11:43
厉害了,2016-10-18 23:11:51
这个好啊,2016-10-18 23:11:56
看完能考过线性代数吗？,2016-10-18 23:11:59
上面那位，接着看，你能感受到现代的美和数学的美,2016-10-19 00:12:11
翻译不错，哪里的资源啊？,2016-10-19 00:12:11
泰勒展开？,2016-10-19 06:06:45
感恩  我已经搜藏了！慢慢看,2016-10-19 10:10:45
厉害了，我的up主,2016-10-19 12:12:48
  当年挂了,2016-10-19 13:01:39
我才是YouTube上来的,2016-10-19 13:01:41
怎么看在线人数...,2016-10-19 15:03:55
mark,2016-10-19 16:04:26
看到这觉得十几年数学白学了。。。一点直觉性没有。。。,2016-10-19 16:04:52
这不就是张宇老师讲的吗,2016-10-19 16:04:58
我在B站学习系列,2016-10-19 18:06:06
我竟然在b站学习了起来,2016-10-19 18:06:21
同问，如何看在线人数,2016-10-19 18:06:26
必须投币！,2016-10-19 19:07:12
我居然在b站看代数,2016-10-19 20:08:39
线代啊。。。。。,2016-10-19 20:08:43
matlab,2016-10-19 20:08:44
B站学现代了,2016-10-19 22:10:02
我爱学习！,2016-10-20 08:08:27
我怎么觉得小学时考过这种题..,2016-10-20 09:09:36
录视频的真是功在千秋，无比感谢up主,2016-10-20 09:09:57
生气啦  我要投币,2016-10-20 10:10:22
线代...hh,2016-10-20 10:10:38
B教学指日可待，可惜这帮人并不会看,2016-10-20 11:11:46
Taylor,2016-10-20 13:01:52
不是二项式展开吗？,2016-10-20 13:01:54
正在复习考研数学 我看一看,2016-10-20 15:03:07
本质是方程组吗？,2016-10-20 15:03:22
请求出它的和函数hhhh,2016-10-20 15:03:25
妈妈，我居然在B站学习现代！,2016-10-20 16:04:50
泰勒你好,2016-10-20 16:04:50
sin的泰勒展开233,2016-10-20 16:04:54
在pc端可以看在线人数，手机好像不行,2016-10-20 16:04:57
在Youtu.be上面看过一遍了，没想到有人搬运过来。,2016-10-20 18:06:31
我大机电路过。。。。。。。,2016-10-20 18:06:59
124个小伙伴,2016-10-20 19:07:03
b站学习系列,2016-10-20 19:07:06
不得了了141个大兄弟,2016-10-20 19:07:08
学线代的时候真的不能理解线代能解决什么问题，比微积分抽象太多了,2016-10-20 19:07:25
太赞了,2016-10-20 19:07:26
学了这么久的现代还不知道是什么,2016-10-20 19:07:32
考研党表示真能看懂，，,2016-10-20 19:07:35
谁说没人看，考研党看这个简直舒服,2016-10-20 19:07:38
厉害了我的哥,2016-10-20 19:07:54
默默拿起张宇线代19讲,2016-10-20 20:08:08
承包这个π,2016-10-20 20:08:12
刹米贵 我居然来这里看线性代数,2016-10-20 20:08:19
本质是空间几何吧,2016-10-20 20:08:33
PC网页客户端，右边,2016-10-20 20:08:39
只有我认真想学习一下吗。。,2016-10-20 21:09:00
在b站学数学2333333,2016-10-20 21:09:31
我决定看完这系列,2016-10-20 21:09:42
哈哈哈 B站看代数的不止你 ,2016-10-20 21:09:47
我看不懂，,2016-10-20 22:10:10
150维向量泥们豪,2016-10-20 22:10:11
相见恨晚系列,2016-10-20 22:10:27
狗~sin狗,2016-10-20 23:11:18
我就看看,2016-10-20 23:11:59
嗯 我在学习,2016-10-21 00:12:15
对对,2016-10-21 00:12:15
喵喵喵？,2016-10-21 01:01:51
最近快被折磨死了来听一听（,2016-10-21 04:04:38
泰勒你好,2016-10-21 08:08:00
超喜欢这个YouTube作者的数学系列 看上去特别舒服,2016-10-21 08:08:57
我他吗居然在b站学习？,2016-10-21 09:09:17
向量这一节我从高中就学的很屎,2016-10-21 09:09:51
当年学的时候完全没有直观概念！,2016-10-21 10:10:35
正在学线代的飘过,2016-10-21 10:10:38
考研党路过,2016-10-21 11:11:26
完全靠背的路过,2016-10-21 11:11:51
学渣收藏加一,2016-10-21 11:11:52
excited!,2016-10-21 11:11:57
233,2016-10-21 11:11:58
在B站学代数,2016-10-21 11:11:59
鄙人本科的时候线性代数98,2016-10-21 12:12:01
难道不是麦克劳林？,2016-10-21 12:12:02
线代,2016-10-21 12:12:23
前面张宇的学生站住！,2016-10-21 12:12:31
我竟然在B站z学线代,2016-10-21 12:12:44
我竟然在B站学高数,2016-10-21 12:12:46
张宇就是这么教线代的,2016-10-21 12:12:56
狗减三阴狗等于六分之一狗三,2016-10-21 13:01:38
这视频简直棒，学线性代数一直计算根本不知道是什么鬼,2016-10-21 13:01:39
泰勒中值定理  高等数学上 ,2016-10-21 14:02:09
麦克劳林是 x0=0时  泰勒展开式的特殊形式  ,2016-10-21 14:02:10
深感那个蠢到无可救药的就是我……,2016-10-21 14:02:29
108个一起看的小伙伴,2016-10-21 14:02:36
我居然在b站看数学233,2016-10-21 15:03:05
我逃了线代课在b站看线代...,2016-10-21 15:03:13
差点挂科的课,2016-10-21 16:04:31
功德无量,2016-10-21 16:04:43
我竟然在b站看线代？？？兄弟有数分吗？,2016-10-21 16:04:50
说这是泰勒中值定理的，你应该回去重新学高数了，这是个泰勒展开,2016-10-21 16:04:51
高中数学能搞定，是学这个的基础......,2016-10-21 16:04:54
考研党举起你们的双手！！！,2016-10-21 17:05:13
哈哈，每个都懂，还经常用,2016-10-21 17:05:29
Hi在零处展开的泰勒，又见面了，别以为你伪装成幂级数我就不知道你是sin,2016-10-21 17:05:32
赞,2016-10-21 17:05:57
word哥，建模大用,2016-10-21 17:05:58
张宇讲的挺好的，就线代入门的时讲的本质,2016-10-21 18:06:05
T T学到秩之后有点难过地跟不上了,2016-10-21 18:06:08
但是当上升到三围以上时怎么用几何来直观表示呢？,2016-10-21 18:06:09
ww,2016-10-21 18:06:10
鄙人初中毕业在b站学学文化也好装B,2016-10-21 18:06:15
我的天,2016-10-21 18:06:21
我竟然在B站看线代。。。。。。,2016-10-21 18:06:30
考研党别走,2016-10-21 18:06:32
去年线代白上了，全忘了(ﾟДﾟ≡ﾟДﾟ),2016-10-21 18:06:33
被李永乐支配的我....,2016-10-21 18:06:35
几百个人看线性代数= =,2016-10-21 18:06:38
前面的说宇神的不要走,2016-10-21 18:06:40
输了,2016-10-21 18:06:42
这不是泰勒吗,2016-10-21 18:06:45
我就是engineering，搞不懂线代的意义,2016-10-21 18:06:46
九门功课同时补的路过。。。,2016-10-21 18:06:56
我大学白读了,2016-10-21 18:06:58
结合图形学来看，会明了很多,2016-10-21 19:07:03
在B站学数学,2016-10-21 19:07:06
看的人比弹幕还多系列,2016-10-21 19:07:06
我在B站学数学系列,2016-10-21 19:07:08
上学期挂了,2016-10-21 19:07:09
看图形学看得一脸蒙蔽的我果断收藏了,2016-10-21 19:07:11
软件狗急需,2016-10-21 19:07:14
我居然在B站学数学2333333,2016-10-21 19:07:22
进来献上膝盖就走。。,2016-10-21 19:07:36
这个系列的视频太好了，我很喜欢,2016-10-21 19:07:37
我又想起了被组合数学所支配的恐惧,2016-10-21 19:07:53
有同感,2016-10-21 19:07:57
engineer drawing,2016-10-21 20:08:00
沉迷学习 无法自拔,2016-10-21 20:08:07
我告诉你们，我可是上过小学的人,2016-10-21 20:08:17
觉得考过的你不是一个人,2016-10-21 20:08:18
宇哥讲的是向量,2016-10-21 20:08:24
正好我在学,2016-10-21 20:08:31
泰勒级数233,2016-10-21 20:08:35
明明应该大学里学过的，但看得一脸懵B……,2016-10-21 21:09:30
麦克劳林是泰勒的一种特殊形式,2016-10-21 21:09:34
我竟然在b站学数学,2016-10-21 21:09:52
行列式可以简单理解为N维向量的所占用的体积,2016-10-21 22:10:13
泰勒展开式。。。,2016-10-21 22:10:14
看了3分钟，还不知道在看什么。。,2016-10-22 00:12:24
什么时候做个场论,2016-10-22 10:10:07
泰勒展开,2016-10-22 21:09:01
对对对就是这样,2016-10-22 22:10:15
九门课一起补的红红火火恍恍惚惚哈哈哈,2016-10-22 22:10:22
不能同意更多！！,2016-10-23 09:09:25
喵喵喵？？？,2016-10-24 21:09:39
厉害了word哥！,2016-10-24 21:09:54
凌晨3点还有8个人看。。。,2016-10-25 03:03:27
厉害，不可多得的好视频,2016-10-25 10:10:06
张宇讲的其实不错,2016-10-25 19:07:19
