车辆品牌,款式,车型,排量,手动/自动,版型,上牌时间,行驶里程（万公里）,现价（万元）,购车原价（万元）,,,,,,,,,,
雷克萨斯GS,2014款,GS250,2.5,自动,F-Sport(进口),2013年12月,2.5,32.5,60.8,,,,,,,,,,
大众高尔夫,2012款,高尔夫6,1.4TSI,双离合,舒适版,2014年3月,3.6,10.7,16.4,,,,,,,,,,
马自达6,2014款,,2,自动,经典型,2014年6月,6.9,9.5,15.2,,,,,,,,,,
大众夏朗,2012款,夏朗,2.0TSI,双离合,舒适版(进口),2013年1月,4.4,21.5,39.6,,,,,,,,,,
本田雅阁,2016款,第九代雅阁,2,无级,舒适版,2016年7月,0.6,17,19.5,,,,,,,,,,
大众途安,2008款,途安,2,自动,5座智雅版,2010年7月,10.6,8,18.6,,,,,,,,,,
大众途观,2015款,,1.8TSI,自动,两驱风尚版,2016年1月,3.6,18,23,,,,,,,,,,
现代索纳塔,2011款,第八代索纳塔,2,自动,GLX 豪华型,2012年8月,4.8,11,20.6,,,,,,,,,,
日产天籁,2013款,天籁,2,无级,XL舒适版,2015年9月,3.6,15,20.2,,,,,,,,,,
丰田RAV4,2011款,RAV4,2.4,自动,至臻版,2011年5月,7.8,12.2,28.2,,,,,,,,,,
大众CC,2010款,CC,2.0TSI,双离合,豪华版,2011年3月,6.4,15.3,30.2,,,,,,,,,,
本田雅阁,2010款,第八代雅阁,2,自动,EX Navi 标准导航版,2010年8月,10.7,9.9,24.2,,,,,,,,,,
别克君威,2014款,,1.6T,自动,时尚技术型,2014年9月,0.7,14,21.7,,,,,,,,,,
奇瑞E3,2015款,,1.5,手动,实尚版,2015年1月,2.8,4.7,7,,,,,,,,,,
比亚迪S6,2013款,,2,手动,尊享型,2013年8月,5.4,6,12.4,,,,,,,,,,
雪佛兰科鲁兹,2009款,,1.6,自动,SL,2009年8月,7.8,4.5,13.3,,,,,,,,,,
大众桑塔纳,2015款,桑塔纳,1.6,自动,舒适版,2015年1月,1.7,7.98,12.4,,,,,,,,,,
雪佛兰迈锐宝,2014款,,2,自动,豪华版,2015年7月,2.4,13.3,20.3,,,,,,,,,,
别克昂科拉,2013款,,1.4T,手动,都市进取型,2013年5月,6.9,9.2,16.3,,,,,,,,,,
标致308,2012款,,2,自动,风尚型,2013年3月,5.7,6.9,14.3,,,,,,,,,,
丰田卡罗拉,2014款,卡罗拉,1.6,无级,GL,2016年1月,2.2,10.2,12.8,,,,,,,,,,
大众速腾,2012款,速腾,1.6,自动,时尚版,2013年4月,3.1,9.5,15.6,,,,,,,,,,
大众帕萨特,2011款,帕萨特,2.0TSI,双离合,御尊版,2012年3月,8.1,15.5,27.7,,,,,,,,,,
福特猛禽,2011款,F-150 SVT Raptor SuperCab,6.2,自动,(进口),2013年12月,5.3,42.5,71.4,,,,,,,,,,
大众高尔夫,2011款,高尔夫6,1.6,双离合,舒适版,2011年8月,9.6,7.5,15.2,,,,,,,,,,
宝马X5,2013款,X5 xDrive35i,3.0T,自动,领先型(进口),2013年9月,4.7,50,97.8,,,,,,,,,,
长安奔奔,2014款,,1.4,手动,尊贵型,2014年10月,2.4,3.3,5.6,,,,,,,,,,
奔驰GLK级,2015款,GLK3004MATIC,3.0T,自动,时尚型 极致版,2015年5月,1.6,38,52.6,,,,,,,,,,
哈弗H3,2009款,,2.4,手动,四驱超豪华版,2009年6月,4.8,4.2,13.9,,,,,,,,,,
东风风行菱智M3,2013款,,1.6,手动,标准型,2013年12月,8.8,3.8,7.3,,,,,,,,,,
威旺M20,2014款,,1.5,手动,舒适型,2014年12月,3.5,3.2,5.6,,,,,,,,,,
别克君越,2010款,,2.4,自动,豪雅版,2010年12月,9.1,11,27.5,,,,,,,,,,
福特福克斯,2009款,福克斯-三厢,1.8,手动,舒适型,2010年12月,13.1,4.5,12.9,,,,,,,,,,
日产天籁,2013款,天籁,2.5,无级,XL NAVI-Tec,2013年6月,6.5,14.7,24.2,,,,,,,,,,
福特福克斯,2009款,福克斯-三厢,1.8,手动,舒适型,2010年12月,13.1,4.5,12.9,,,,,,,,,,
日产天籁,2013款,天籁,2.5,无级,XL NAVI-Tec,2013年6月,6.5,14.7,24.2,,,,,,,,,,
本田奥德赛,2009款,奥德赛,2.4,自动,豪华版,2011年4月,12.8,13.8,27.9,,,,,,,,,,
丰田威驰,2010款,威驰,1.6,自动,GL-i,2010年12月,5.8,4.99,11.7,,,,,,,,,,
奔驰C级,2013款,C260CGI,1.8T,自动,时尚型,2013年4月,3.8,20.5,42.1,,,,,,,,,,
奇瑞E5,2014款,,1.5,手动,优悦型,2013年5月,1.9,3.98,7.1,,,,,,,,,,
