电影名称,评价人数,豆瓣评分
肖申克的救赎,1560108,9.7
霸王别姬,1152840,9.6
这个杀手不太冷,1406517,9.4
阿甘正传,1215174,9.5
美丽人生,711566,9.5
泰坦尼克号,1157182,9.4
千与千寻,1248414,9.3
辛德勒的名单,630817,9.5
盗梦空间,1202591,9.3
忠犬八公的故事,805645,9.3
机器人总动员,797427,9.3
三傻大闹宝莱坞,1088023,9.2
放牛班的春天,757407,9.3
海上钢琴师,881359,9.2
楚门的世界,843084,9.2
大话西游之大圣娶亲,845874,9.2
星际穿越,864973,9.3
龙猫,746827,9.2
熔炉,500142,9.3
教父,542209,9.3
无间道,694763,9.2
疯狂动物城,976099,9.2
当幸福来敲门,880881,9.1
怦然心动,984340,9.0
触不可及,574870,9.2
蝙蝠侠：黑暗骑士,568188,9.1
乱世佳人,397832,9.3
活着,449062,9.2
控方证人,203237,9.6
少年派的奇幻漂流,861832,9.0
指环王3：王者无敌,435924,9.2
摔跤吧！爸爸,860512,9.0
天空之城,511421,9.1
鬼子来了,364727,9.2
十二怒汉,259538,9.4
天堂电影院,419352,9.2
飞屋环游记,782133,9.0
大话西游之月光宝盒,683336,9.0
哈尔的移动城堡,575382,9.0
罗马假日,581761,9.0
搏击俱乐部,546843,9.0
末代皇帝,360383,9.2
寻梦环游记,821820,9.0
闻香识女人,497916,9.0
辩护人,345713,9.2
素媛,327975,9.2
窃听风暴,342995,9.1
死亡诗社,417925,9.0
两杆大烟枪,372119,9.1
飞越疯人院,376193,9.1
指环王2：双塔奇兵,408038,9.0
教父2,294434,9.2
狮子王,445974,9.0
指环王1：魔戒再现,458056,9.0
V字仇杀队,640492,8.9
美丽心灵,446811,9.0
饮食男女,315975,9.1
海豚湾,248056,9.3
何以为家,366586,9.1
情书,548907,8.9
钢琴家,295703,9.1
大闹天宫,193392,9.3
哈利·波特与魔法石,474339,8.9
本杰明·巴顿奇事,582528,8.9
看不见的客人,643226,8.8
黑客帝国,439399,8.9
西西里的美丽传说,558478,8.8
小鞋子,220832,9.2
美国往事,250205,9.2
让子弹飞,946719,8.8
拯救大兵瑞恩,373544,9.0
音乐之声,344358,9.0
猫鼠游戏,410678,8.9
致命魔术,502119,8.8
